"","names","mag","date","status","haz","hazard"
"1","USA","(5.7M)","2020-08-13","active","green","earthquake"
"2","PAK","(5.6M)","2020-08-12","active","green","earthquake"
"3","PHL","(5.5M)","2020-08-12","active","green","earthquake"
"4","TZA","(6M)","2020-08-12","active","green","earthquake"
"5","HND","(5.7M)","2020-08-10","active","green","earthquake"
"6","Southwest Of Africa","(5.9M)","2020-08-09","active","green","earthquake"
"7","USA","(5.7M)","2020-08-09","past","green","earthquake"
"8","
									Off shore
								","(5.5M)","2020-08-09","past","green","earthquake"
"9","USA","(5.5M)","2020-08-08","past","green","earthquake"
"10","Prince Edward Islands Region","(6.3M)","2020-08-06","past","green","earthquake"
"11","JOSEPHINE-20","(93km/h)","2020-08-13","active","green","cyclone"
"12","TEN-E-20","(65km/h)","2020-08-13","active","green","cyclone"
"13","ELIDA-20","(157km/h)","2020-08-13","active","green","cyclone"
"14","SIX-20","(83km/h)","2020-08-13","active","green","cyclone"
"15","JANGMI-20","(74km/h)","2020-08-10","active","green","cyclone"
"16","TEN-20","(56km/h)","2020-08-02","past","green","cyclone"
"17","MEKKHALA-20","(130km/h)","2020-08-11","active","orange","cyclone"
"18","ISAIAS-20","(139km/h)","2020-08-05","past","orange","cyclone"
"19","HAGUPIT-20","(139km/h)","2020-08-04","past","orange","cyclone"
"20","SINLAKU-20","(65km/h)","2020-08-02","past","orange","cyclone"
"21","GRC","","2020-08-10","active","green","flood"
"22","NGA","","2020-08-08","past","green","flood"
"23","PAK","","2020-08-07","past","green","flood"
"24","IND","","2020-08-06","past","green","flood"
"25","PHL","","2020-08-05","past","green","flood"
"26","Laos, Vietnam","","2020-08-04","past","green","flood"
"27","SDN","","2020-08-01","past","green","flood"
"28","YEM","","2020-08-01","past","green","flood"
"29","KOR","","2020-08-01","past","green","flood"
"30","AFG","","2020-07-30","past","green","flood"
"31","IDN","","2020-08-10","active","green","volcano"
"32","PNG","","2020-08-03","past","green","volcano"
"33","GTM","","2020-07-29","past","green","volcano"
"34","ITA","","2020-07-20","past","green","volcano"
"35","PER","","2020-06-29","past","green","volcano"
"36","IDN","","2020-06-22","past","green","volcano"
"37","ECU","","2020-06-10","past","green","volcano"
"38","IDN","","2020-05-29","past","green","volcano"
"39","ITA","","2020-05-22","past","green","volcano"
"40","ISL","","2020-05-15","past","green","volcano"
"41","ARG","","2019","past","green","drought"
"42"," Europe","","2020","active","green","drought"
"43","USA","","2020","active","green","drought"
"44","KAZ","","2020","active","green","drought"
"45","AUS","","2020","active","green","drought"
"46"," Mainland Southeast Asia","","2019","active","orange","drought"
"47"," Rondonia ","","2019","past","orange","drought"
"48","PRY","","2019","past","orange","drought"
"49","MWI","","2020","active","orange","drought"
"50","ZAF","","2020","active","orange","drought"
"471","BRA","","2019","past","orange","drought"
"481","BRA","","2019","past","orange","drought"
"491","MOZ","","2020","active","orange","drought"
